age,income,score,height,weight,category,city,education,description,comments,registration_date,last_activity,is_active,has_subscription
56,77447.55593094493,93.03188848378237,173.01619247953596,77.01740087853938,A,Phoenix,Master,This is sample text description 0 with various content,Comment 0: Some feedback about the product or service,2025-03-03,2025-06-07 01:26:47,True,False
69,36444.278140132315,25.305843280078456,176.87966952116034,101.21904443150085,C,New York,Bachelor,This is sample text description 1 with various content,Comment 1: Some feedback about the product or service,2025-03-05,2025-06-24 01:26:47,True,False
46,73070.63744015737,78.11704237869192,146.24333988907384,73.68845240369357,B,New York,Master,This is sample text description 2 with various content,Comment 2: Some feedback about the product or service,2025-06-03,2025-06-07 01:26:47,True,True
32,42499.78743260372,82.51321959287039,175.9824937462995,25.703873490230954,A,Los Angeles,Bachelor,This is sample text description 3 with various content,Comment 3: Some feedback about the product or service,2025-07-05,2025-06-10 01:26:47,True,True
60,36117.08092985012,49.54521034609818,162.38311793766403,88.61319358070354,D,Los Angeles,High School,This is sample text description 4 with various content,Comment 4: Some feedback about the product or service,2024-12-14,2025-06-26 01:26:47,True,False
25,52197.20146086498,38.63489098483155,173.09877284583146,59.458783349509204,B,New York,Master,This is sample text description 5 with various content,Comment 5: Some feedback about the product or service,2025-06-30,2025-06-23 01:26:47,False,False
78,56849.13836015029,45.012443241975966,169.70565269090508,103.98569035743539,C,Chicago,PhD,This is sample text description 6 with various content,Comment 6: Some feedback about the product or service,2024-09-12,2025-06-24 01:26:47,True,False
38,88230.59213018857,22.696469436536415,192.78333029161632,71.74545177048941,A,Los Angeles,High School,This is sample text description 7 with various content,Comment 7: Some feedback about the product or service,2025-07-01,2025-06-15 01:26:47,True,True
56,56390.75157737429,88.93909161288443,175.46695323765874,44.729489590212616,A,Phoenix,PhD,This is sample text description 8 with various content,Comment 8: Some feedback about the product or service,2025-04-17,2025-06-26 01:26:47,False,False
75,53865.56123698772,45.06196567297579,168.87376170737215,39.029537650618714,A,Houston,PhD,This is sample text description 9 with various content,Comment 9: Some feedback about the product or service,2024-10-05,2025-06-16 01:26:47,True,False
36,819228.5887803268,88.24594404560997,154.90307240746446,93.09611144013817,A,Los Angeles,,This is sample text description 10 with various content,Comment 10: Some feedback about the product or service,2025-01-10,2025-06-18 01:26:47,True,False
40,62021.07888423073,10.56934799062741,171.21146901849897,86.58857478875909,B,New York,High School,This is sample text description 11 with various content,Comment 11: Some feedback about the product or service,2024-08-02,2025-07-02 01:26:47,True,False
28,371144.96396641043,98.82752710001313,178.23228878346822,103.39028328650035,D,Chicago,High School,This is sample text description 12 with various content,Comment 12: Some feedback about the product or service,2024-08-19,2025-06-08 01:26:47,True,False
28,,44.32730874436183,169.19448108180777,70.16386728360332,B,Houston,Master,This is sample text description 13 with various content,Comment 13: Some feedback about the product or service,2024-08-01,2025-06-12 01:26:47,True,False
41,,4.783082039410546,164.9434364006256,69.15205174930479,A,Los Angeles,PhD,This is sample text description 14 with various content,Comment 14: Some feedback about the product or service,2025-02-20,2025-07-01 01:26:47,True,False
70,37015.05443332581,3.8021848237454914,164.27413336153683,64.25921811762164,B,Chicago,Bachelor,This is sample text description 15 with various content,Comment 15: Some feedback about the product or service,2025-06-11,2025-07-01 01:26:47,True,False
53,33029.58601224173,74.62072574818386,175.3514143545532,60.12564638111169,A,Chicago,Master,This is sample text description 16 with various content,Comment 16: Some feedback about the product or service,2024-08-15,2025-06-07 01:26:47,False,True
57,31275.099434440875,65.90355342036808,177.59387939309158,64.11355668313277,B,Chicago,High School,This is sample text description 17 with various content,Comment 17: Some feedback about the product or service,2025-01-04,2025-06-08 01:26:47,True,False
41,,80.21305581275875,183.6121011532112,73.26194998486044,B,New York,Bachelor,This is sample text description 18 with various content,Comment 18: Some feedback about the product or service,2025-01-19,2025-06-24 01:26:47,False,True
20,,10.536753395280595,160.05000106789643,57.34148819631847,C,Phoenix,,This is sample text description 19 with various content,Comment 19: Some feedback about the product or service,2024-08-02,2025-06-10 01:26:47,True,True
39,-19563.384272731128,3.557086703554835,175.25977558417617,44.96065979689025,D,Chicago,Bachelor,This is sample text description 20 with various content,Comment 20: Some feedback about the product or service,2025-01-09,2025-07-03 01:26:47,True,False
70,44634.73876100974,50.857928944757845,168.78296045582132,72.39814951021266,A,Houston,Master,This is sample text description 21 with various content,Comment 21: Some feedback about the product or service,2025-04-02,2025-06-07 01:26:47,True,True
19,39641.75488388732,38.759523148276955,169.0776579536672,57.00706601959852,B,Los Angeles,Bachelor,This is sample text description 22 with various content,Comment 22: Some feedback about the product or service,2025-06-03,2025-06-28 01:26:47,False,False
41,67856.5072859771,46.19469366709558,174.01825854034,21.408434125898964,D,Houston,Master,This is sample text description 23 with various content,Comment 23: Some feedback about the product or service,2025-03-17,2025-06-14 01:26:47,True,False
61,,99.1588408870274,174.07656253624947,78.28851085985517,C,New York,High School,This is sample text description 24 with various content,Comment 24: Some feedback about the product or service,2025-02-10,2025-07-04 01:26:47,True,False
47,100785.15582421786,97.07499576706702,175.28768105791573,53.37911442824458,B,New York,Bachelor,This is sample text description 25 with various content,Comment 25: Some feedback about the product or service,2024-11-17,2025-06-18 01:26:47,False,False
55,77935.87157540486,94.23153896731928,159.4252880780419,79.92684182036102,D,Houston,PhD,This is sample text description 26 with various content,Comment 26: Some feedback about the product or service,2024-10-07,2025-06-27 01:26:47,True,True
19,42201.79217980444,78.38426767676738,162.5018859283354,79.56772159773972,A,Phoenix,PhD,This is sample text description 27 with various content,Comment 27: Some feedback about the product or service,2024-08-04,2025-06-23 01:26:47,False,False
77,72992.46157666165,35.48413602568904,184.85868275517683,74.25385017284249,D,New York,High School,This is sample text description 28 with various content,Comment 28: Some feedback about the product or service,2025-05-29,2025-06-29 01:26:47,True,True
38,60504.234253818955,41.21309302627716,167.7942753251916,107.45226760534743,A,New York,Bachelor,This is sample text description 29 with various content,Comment 29: Some feedback about the product or service,2025-02-21,2025-06-26 01:26:47,False,False
50,54669.315929604854,54.96160437189245,173.06014398017896,67.92922225041434,B,Houston,PhD,This is sample text description 30 with various content,Comment 30: Some feedback about the product or service,2024-08-06,2025-06-27 01:26:47,False,False
29,66053.0451121486,83.05344564048399,180.54666312043184,65.71540648752118,C,New York,Master,This is sample text description 31 with various content,Comment 31: Some feedback about the product or service,2024-11-13,2025-06-06 01:26:47,True,True
75,51081.41748520973,6.871283251826776,174.63443072360818,80.25508632125376,A,Phoenix,Bachelor,This is sample text description 32 with various content,Comment 32: Some feedback about the product or service,2024-08-21,2025-06-14 01:26:47,True,False
39,54807.02312154955,42.429688588488816,175.4652263097204,69.1682895682931,B,Phoenix,Bachelor,This is sample text description 33 with various content,Comment 33: Some feedback about the product or service,2024-07-26,2025-06-21 01:26:47,True,False
78,66467.0503255793,8.261766345926869,178.94577679243756,87.40740306091014,A,Phoenix,PhD,This is sample text description 34 with various content,Comment 34: Some feedback about the product or service,2025-01-27,2025-07-01 01:26:47,False,False
61,91049.0548349098,51.46575865735116,148.83336239103,50.96791138636716,D,Los Angeles,Master,This is sample text description 35 with various content,Comment 35: Some feedback about the product or service,2025-05-29,2025-06-24 01:26:47,True,False
42,55023.89944439348,89.89008240062354,165.10049844839466,51.2173832880349,C,Phoenix,Master,This is sample text description 36 with various content,Comment 36: Some feedback about the product or service,2025-02-06,2025-07-05 01:26:47,True,True
66,40924.06670055688,78.24849245639379,174.6860579649959,81.48714236989326,C,Phoenix,Master,This is sample text description 37 with various content,Comment 37: Some feedback about the product or service,2024-09-01,2025-06-24 01:26:47,True,False
44,9415.382898120231,22.784241754310997,183.87644307057658,52.52783590992095,B,Los Angeles,Bachelor,This is sample text description 38 with various content,Comment 38: Some feedback about the product or service,2025-06-07,2025-06-14 01:26:47,True,False
76,89226.06943927275,97.59908495987925,170.66095559655773,79.13647909664071,C,Chicago,High School,This is sample text description 39 with various content,Comment 39: Some feedback about the product or service,2025-02-12,2025-06-30 01:26:47,True,False
59,44735.1657485608,66.73503980464284,161.55283538243904,75.55004269315549,A,New York,,This is sample text description 40 with various content,Comment 40: Some feedback about the product or service,2025-04-21,2025-06-17 01:26:47,True,True
45,60696.18580162534,1.0427699397403067,161.81913950389497,59.582675709585054,B,Phoenix,Bachelor,This is sample text description 41 with various content,Comment 41: Some feedback about the product or service,2025-02-11,2025-06-17 01:26:47,True,False
77,88118.14473853988,25.541348468521953,178.83861203453074,75.5075524035015,C,New York,PhD,This is sample text description 42 with various content,Comment 42: Some feedback about the product or service,2024-11-19,2025-06-20 01:26:47,True,True
33,54552.04641860983,26.071329991991654,167.82226417608112,51.481113313236406,A,Houston,High School,This is sample text description 43 with various content,Comment 43: Some feedback about the product or service,2025-05-03,2025-06-17 01:26:47,True,True
32,46106.594762450404,6.9254306285859935,169.92799954209664,55.00150110604449,A,New York,Master,This is sample text description 44 with various content,Comment 44: Some feedback about the product or service,2024-07-24,2025-07-03 01:26:47,True,False
79,78393.45955087489,95.9826518075929,176.15030193772319,66.44218392381902,A,Los Angeles,PhD,This is sample text description 45 with various content,Comment 45: Some feedback about the product or service,2024-07-26,2025-06-13 01:26:47,False,False
79,59214.74135127838,47.825529457592374,140.9847631730642,71.18391728608331,A,New York,Bachelor,This is sample text description 46 with various content,Comment 46: Some feedback about the product or service,2024-10-10,2025-06-26 01:26:47,False,False
64,,89.5814597371882,190.00367511508082,65.44542194518213,C,New York,High School,This is sample text description 47 with various content,Comment 47: Some feedback about the product or service,2024-08-12,2025-06-09 01:26:47,True,False
79,19536.782590564784,32.221550344462834,162.6892616494894,76.49673945809667,B,New York,Master,This is sample text description 48 with various content,Comment 48: Some feedback about the product or service,2025-01-03,2025-06-18 01:26:47,True,False
68,74118.3041448517,12.523357043282711,172.41936369473572,75.82699622572437,C,Chicago,Master,This is sample text description 49 with various content,Comment 49: Some feedback about the product or service,2024-10-18,2025-06-10 01:26:47,True,True
61,57511.76135983291,47.43361099062139,152.95302986503728,92.94050212522217,A,Chicago,Bachelor,This is sample text description 50 with various content,Comment 50: Some feedback about the product or service,2024-10-11,2025-06-23 01:26:47,True,False
72,22568.21240553752,11.395663471431716,165.77458889594962,68.57071979282493,A,Houston,Master,This is sample text description 51 with various content,Comment 51: Some feedback about the product or service,2025-01-18,2025-06-10 01:26:47,True,True
69,59701.8822322655,48.601550297753995,182.44688046365096,87.91845146776193,A,Los Angeles,Master,This is sample text description 52 with various content,Comment 52: Some feedback about the product or service,2024-10-20,2025-06-18 01:26:47,True,False
74,8749.486521765008,92.02971812194077,150.8383282033412,83.8108826934084,C,New York,High School,This is sample text description 53 with various content,Comment 53: Some feedback about the product or service,2024-11-21,2025-07-03 01:26:47,True,True
20,96839.50405025991,52.07681418342127,181.26200087189142,104.40965924939722,B,New York,PhD,This is sample text description 54 with various content,Comment 54: Some feedback about the product or service,2025-06-03,2025-06-10 01:26:47,False,True
54,,61.649972689508346,167.26303903767615,68.09112970146589,D,New York,High School,This is sample text description 55 with various content,Comment 55: Some feedback about the product or service,2024-12-04,2025-06-08 01:26:47,True,False
68,82235.85531436872,15.66384369738083,174.87164440220192,63.69461917820517,B,New York,PhD,This is sample text description 56 with various content,Comment 56: Some feedback about the product or service,2025-05-17,2025-06-13 01:26:47,True,True
24,33740.889037626934,4.373562587996949,176.57524413485112,88.865413333656,B,Chicago,PhD,This is sample text description 57 with various content,Comment 57: Some feedback about the product or service,2024-12-08,2025-07-03 01:26:47,True,True
38,61204.51421941439,11.080796217980705,174.41421499490926,75.78148857611893,B,Houston,PhD,This is sample text description 58 with various content,Comment 58: Some feedback about the product or service,2025-06-07,2025-06-13 01:26:47,False,False
26,31757.434867810025,59.853157568436565,161.35049348369174,89.22488825175849,D,Phoenix,,This is sample text description 59 with various content,Comment 59: Some feedback about the product or service,2025-05-28,2025-06-11 01:26:47,True,True
56,69942.3044379564,9.501169899230465,166.35450853464977,80.7519819698425,C,Los Angeles,High School,This is sample text description 60 with various content,Comment 60: Some feedback about the product or service,2024-07-24,2025-06-09 01:26:47,True,True
35,45293.62516185496,37.59928899413114,155.38443822749184,38.39856862900756,A,New York,Master,This is sample text description 61 with various content,Comment 61: Some feedback about the product or service,2025-03-28,2025-06-10 01:26:47,True,True
21,,55.009194045815605,174.9179633158808,75.64482665546774,B,Houston,Bachelor,This is sample text description 62 with various content,Comment 62: Some feedback about the product or service,2025-01-14,2025-06-24 01:26:47,True,False
42,,38.8652798629847,187.02055154015926,74.66823846927234,B,Phoenix,High School,This is sample text description 63 with various content,Comment 63: Some feedback about the product or service,2025-06-19,2025-06-09 01:26:47,True,False
